City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Bousse,BF,77.68,clear sky,12.66,-1.89,Maison d'hôtes EBEN-EZER DE BOUSSE
15,Kirakira,SB,84.9,light rain,-10.45,161.92,SanBiz Lodge
16,Arraial Do Cabo,BR,75.52,clear sky,-22.97,-42.03,Pousada Porto Praia
17,Palu,ID,79.56,light rain,-0.89,119.87,Hotel Santika Palu
18,Atuona,PF,77.95,broken clouds,-9.8,-139.03,Villa Enata
23,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
26,Vaini,TO,73.26,clear sky,-21.2,-175.2,Keleti Beach Resort
29,Coahuayana,MX,83.68,light rain,18.73,-103.68,Hotel Los Arcos
31,Rikitea,PF,74.93,broken clouds,-23.12,-134.97,Pension Maro'i
32,Havelock,US,73.0,few clouds,34.88,-76.9,Sherwood Motel
35,Alofi,NU,73.83,few clouds,-19.06,-169.92,Taloa Heights
37,Hithadhoo,MV,83.05,clear sky,-0.6,73.08,Scoop Guest House
42,Mahebourg,MU,70.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
43,Namatanai,PG,84.54,overcast clouds,-3.67,152.43,Namatanai Hotel
44,Kapaa,US,75.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
45,Sumbe,AO,75.88,light rain,-11.21,13.84,Hotel Ritz Sumbe
48,Hambantota,LK,78.01,overcast clouds,6.12,81.12,Bungalow 63
55,Nicoya,CR,78.96,overcast clouds,10.15,-85.45,Guayacan Real
61,Tura,IN,70.09,clear sky,25.52,90.22,Hotel RIKMAN Continental
68,Alice Springs,AU,80.37,clear sky,-23.7,133.88,Desert Palms Alice Springs
73,Biak,ID,79.68,overcast clouds,-0.91,122.88,Kost Ariz
78,Makakilo City,US,84.99,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
82,Itoman,JP,75.96,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
85,Sao Joao Da Barra,BR,77.29,clear sky,-21.64,-41.05,Pousada Porto De Canoas
87,Fortuna,US,70.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
89,The Valley,AI,81.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
91,Carnarvon,AU,71.89,clear sky,-24.87,113.63,Hospitality Carnarvon
101,Phangnga,TH,82.99,light rain,8.45,98.53,Rattanapong Hotel
104,Clearwater,US,84.0,broken clouds,27.97,-82.8,Shephard's Beach Resort
108,Hilo,US,82.99,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
109,Meulaboh,ID,75.58,overcast clouds,4.14,96.13,Kost Pria
111,Bambous Virieux,MU,70.0,broken clouds,-20.34,57.76,Casa Tia Villa
112,Nouadhibou,MR,74.79,overcast clouds,20.93,-17.03,El Medina
115,Tallahassee,US,80.01,overcast clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
116,Avarua,CK,72.66,scattered clouds,-21.21,-159.78,Paradise Inn
119,Beira,MZ,72.68,clear sky,-19.84,34.84,Beira Terrace Hotel
123,Bombay,IN,79.88,clear sky,19.01,72.85,Four Seasons Hotel Mumbai
125,Cabedelo,BR,78.17,broken clouds,-6.98,-34.83,Lua Mansa Pousada
127,North Myrtle Beach,US,73.99,overcast clouds,33.82,-78.68,Avista Resort
131,Moroni,KM,77.0,scattered clouds,-11.7,43.26,Hotel les Arcades
135,Nabire,ID,82.06,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
147,Souillac,MU,70.0,overcast clouds,-20.52,57.52,Bils' Villa
151,Kendari,ID,81.27,scattered clouds,-3.94,122.5,Hotel Wixel
156,Denpasar,ID,79.95,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
160,Georgetown,MY,80.01,overcast clouds,5.41,100.34,Cititel Penang
161,Banda Aceh,ID,80.35,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
162,Lorengau,PG,84.96,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
164,Axim,GH,77.61,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
165,Padang,ID,77.76,moderate rain,-0.95,100.35,Mercure Padang
168,Monteagudo,BO,75.38,light rain,-19.82,-63.98,"Residencial ""OLIVIA"""
170,Lompoc,US,73.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
172,Kupang,ID,83.08,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
173,Butaritari,KI,81.12,overcast clouds,3.07,172.79,Isles Sunset Lodge
177,Port-Gentil,GA,78.51,overcast clouds,-0.72,8.78,Fengshui Residence
178,Beihai,CN,72.86,overcast clouds,21.48,109.1,21 Degree Hostel
181,Pacific Grove,US,75.0,clear sky,36.62,-121.92,Lovers Point Inn
182,Faanui,PF,79.77,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
185,Mount Isa,AU,78.1,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
186,Tautira,PF,77.0,broken clouds,-17.73,-149.15,Pension Oaoa
194,Quatre Cocos,MU,70.0,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
195,Brawley,US,84.99,clear sky,32.98,-115.53,Brawley Inn Hotel & Conference Center
196,Cockburn Town,TC,82.51,clear sky,21.46,-71.14,Osprey Beach Hotel
198,Port Hedland,AU,75.47,clear sky,-20.32,118.57,The Esplanade Hotel
210,Hue,VN,74.14,broken clouds,16.47,107.6,Saigon Morin Hotel
211,Vilhena,BR,79.32,overcast clouds,-12.74,-60.15,Hotel Mirage
212,Chiredzi,ZW,71.67,clear sky,-21.05,31.67,The Nesbitt Arms
217,Vao,NC,72.54,clear sky,-22.67,167.48,Hotel Kou-Bugny
218,Mindelo,CV,77.41,scattered clouds,16.89,-24.98,Hotel Gaudi
222,Mayumba,GA,74.98,overcast clouds,-3.43,10.66,LIKWALE LODGE
224,Enterprise,US,75.0,clear sky,36.03,-115.24,Highland Inn Las Vegas
225,Manokwari,ID,82.94,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
226,Saint George,US,73.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
227,Quelimane,MZ,70.05,clear sky,-17.88,36.89,Hotel Flamingo
230,Lobito,AO,75.92,light rain,-12.35,13.55,Casa Rosa Hotel Residence
232,Coracao De Jesus,BR,72.66,overcast clouds,-16.69,-44.37,Hotel Neves
233,Hatillo,PR,81.0,few clouds,18.49,-66.83,Hotel Parador El Buen Cafe
237,El Copey,CO,79.47,light rain,10.15,-73.96,Copey cesar
242,Carutapera,BR,79.11,scattered clouds,-1.2,-46.02,Lidera
244,Kanniyakumari,IN,79.29,broken clouds,8.08,77.57,Sparsa
246,Coalinga,US,82.99,clear sky,36.14,-120.36,Royal Lodge Motel
247,Ariquemes,BR,83.86,light rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
251,Caravelas,BR,78.39,light rain,-17.71,-39.25,Pousada dos Navegantes
255,Maningrida,AU,83.88,scattered clouds,-12.07,134.27,Dhukurrdji Lodge
256,Gboko,NG,78.04,broken clouds,7.32,9.0,Bays Garden Hotel
259,Porbandar,IN,77.59,clear sky,21.64,69.61,Lords Inn Porbandar
263,Sola,VU,80.38,clear sky,-13.88,167.55,Ulkel Guest House
265,Xiamen,CN,71.53,overcast clouds,24.48,118.08,厦门马哥孛罗东方大酒店
268,Daru,PG,80.83,moderate rain,-9.08,143.21,New century hotel
270,Keti Bandar,PK,77.67,clear sky,24.14,67.45,Haji laloo memon house
271,Naze,JP,71.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
272,Dingle,PH,78.67,broken clouds,11.0,122.67,Camp Pasica
276,Isangel,VU,78.33,few clouds,-19.55,169.27,Volcano Sea View Tree House
278,Guerrero Negro,MX,73.53,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
279,Pindiga,NG,75.43,broken clouds,9.98,10.93,Accommodation Center
280,Santo Estevao,BR,74.46,overcast clouds,-12.43,-39.25,Campo Hotel
285,Myitkyina,MM,70.63,clear sky,25.38,97.4,Shwe Phyu Hotel
291,Gushikawa,JP,75.13,scattered clouds,26.35,127.87,Kirari Guest House
293,Atar,MR,82.04,few clouds,20.52,-13.05,Oumou Elghoura
294,Salalah,OM,78.26,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
299,Sao Raimundo Nonato,BR,82.04,broken clouds,-9.02,-42.7,Real Hotel
300,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
303,Sechura,PE,70.34,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
306,Karratha,AU,74.57,light rain,-20.74,116.85,ibis Styles Karratha
310,Kavieng,PG,84.65,overcast clouds,-2.57,150.8,Nusa Island Retreat
311,Choix,MX,82.92,clear sky,26.71,-108.32,Hotel Montesclaros
313,Arlit,NE,79.2,clear sky,18.74,7.39,Hôtel Telwa Bungalow
314,Salinopolis,BR,80.78,broken clouds,-0.61,-47.36,Hotel Salinópolis
315,Bengkulu,ID,75.02,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
316,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
318,Poum,NC,77.18,clear sky,-20.23,164.02,Gîte kajeon
321,Neiafu,TO,75.29,clear sky,-18.65,-173.98,Mystic Sands
322,Phuket,TH,82.99,light rain,8.0,98.25,The Surin Phuket
323,Vaitape,PF,80.6,few clouds,-16.52,-151.75,Conrad Bora Bora Nui
324,Todos Santos,MX,81.0,clear sky,23.45,-110.22,Hotel California Todos Santos
326,Lamont,US,82.0,clear sky,35.26,-118.91,Buena Vista Mobile Home Park
329,Maxixe,MZ,71.98,few clouds,-23.86,35.35,Oceano
332,Cayenne,GF,81.25,few clouds,4.93,-52.33,Hôtel Le Dronmi
333,Mont-Dore,NC,84.0,clear sky,-22.28,166.58,GIte
339,Koumra,TD,76.26,clear sky,8.91,17.55,Motel Espoir
342,Bandundu,CD,70.34,light rain,-3.32,17.37,Coja Color
344,Sao Domingos,BR,75.52,light rain,-13.4,-46.32,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
345,Noumea,NC,84.0,clear sky,-22.28,166.46,Hôtel Le Lagon
347,Inhambane,MZ,72.55,few clouds,-23.86,35.38,Oceano
355,Sinnamary,GF,81.59,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
356,Langsa,ID,75.2,light rain,4.47,97.97,OYO 2964 Hotel Ridho
359,Geraldton,AU,70.12,clear sky,-28.77,114.6,Broadwater Mariner Resort
362,Tucupita,VE,77.61,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
366,Laguna,US,79.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
375,Pemba,MZ,77.76,clear sky,-12.97,40.52,Guesthouse Samotina
377,Gouyave,GD,81.39,light rain,12.16,-61.73,Rumboat Retreat
381,Uthal,PK,71.74,clear sky,25.81,66.62,Al Madina Hotal
385,San Quintin,MX,70.63,clear sky,30.48,-115.95,Old Mill Hotel
388,Awallan,PH,77.54,overcast clouds,17.92,121.91,Bunuga Baggao Cagayan
389,Bandarbeyla,SO,77.41,few clouds,9.49,50.81,REER XOOSHLE GROUP
390,Rock Sound,BS,81.93,few clouds,24.9,-76.2,Rock Sound Club
396,Venice,US,84.0,overcast clouds,27.1,-82.45,A Beach Retreat On Casey Key
398,Toamasina,MG,71.76,light rain,-18.17,49.38,Hotel H1
401,Ishigaki,JP,77.76,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
404,Coruripe,BR,76.55,overcast clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
406,Samarai,PG,81.95,broken clouds,-10.62,150.67,Nuli Sapi
408,Kloulklubed,PW,84.31,few clouds,7.04,134.26,Storyboard Beach Resort
411,Cotonou,BJ,80.06,few clouds,6.37,2.42,Novotel Cotonou Orisha
412,Itacare,BR,76.98,overcast clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
413,Pirganj,BD,70.79,clear sky,25.85,88.36,Haque Mansion
414,Ayorou,NE,83.41,clear sky,14.73,0.92,Hotel Amenokal
419,Sao Jose Da Coroa Grande,BR,76.64,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
