City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.73,135.87,59.94,75,67,21.7,broken clouds
1,Rongcheng,CN,30.63,117.85,58.05,90,66,3.58,broken clouds
2,Kisesa,TZ,-3.08,34.15,71.06,60,66,6.91,broken clouds
3,Halifax,CA,44.65,-63.57,39.99,78,20,1.01,few clouds
4,Santa Cruz,BO,-17.8,-63.17,87.84,48,4,13.65,clear sky
5,Emba,KZ,48.83,58.14,35.08,77,0,2.82,clear sky
6,Dikson,RU,73.51,80.55,3.0,91,1,23.02,clear sky
7,Tuktoyaktuk,CA,69.45,-133.04,20.48,96,99,19.89,overcast clouds
8,College,US,64.86,-147.8,18.0,83,53,1.01,broken clouds
9,Fort Nelson,CA,58.81,-122.7,36.77,76,0,1.68,clear sky
10,Yellowknife,CA,62.46,-114.35,24.01,96,96,1.99,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,39.43,85,48,4.74,light rain
12,Khatanga,RU,71.97,102.5,-1.34,86,0,6.62,clear sky
13,Bousse,BF,12.66,-1.89,77.68,17,0,5.48,clear sky
14,Filadelfia,US,39.95,-75.16,60.01,81,100,4.36,overcast clouds
15,Kirakira,SB,-10.45,161.92,84.9,69,91,11.65,light rain
16,Arraial Do Cabo,BR,-22.97,-42.03,75.52,92,0,11.72,clear sky
17,Palu,ID,-0.89,119.87,79.56,72,87,2.86,light rain
18,Atuona,PF,-9.8,-139.03,77.95,73,58,13.27,broken clouds
19,Mareeba,AU,-17.0,145.43,87.01,71,0,1.01,clear sky
20,Longyearbyen,SJ,78.22,15.64,21.92,95,99,5.44,light snow
21,Baruun-Urt,MN,46.68,113.28,30.29,73,0,9.84,clear sky
22,Ostrovnoy,RU,68.05,39.51,37.22,88,84,14.32,broken clouds
23,Victoria,HK,22.29,114.16,75.99,71,100,1.99,overcast clouds
24,Bluff,NZ,-46.6,168.33,54.0,79,100,5.01,overcast clouds
25,Tasiilaq,GL,65.61,-37.64,26.65,85,100,11.56,overcast clouds
26,Vaini,TO,-21.2,-175.2,73.26,72,0,20.07,clear sky
27,Port Alfred,ZA,-33.59,26.89,66.69,85,93,5.01,overcast clouds
28,Katsuura,JP,35.13,140.3,62.01,78,2,3.0,clear sky
29,Coahuayana,MX,18.73,-103.68,83.68,75,40,5.35,light rain
30,Deputatskiy,RU,69.3,139.9,-5.93,91,86,1.1,overcast clouds
31,Rikitea,PF,-23.12,-134.97,74.93,82,71,12.3,broken clouds
32,Havelock,US,34.88,-76.9,73.0,83,12,5.57,few clouds
33,Kearney,US,40.7,-99.08,55.99,43,95,11.7,overcast clouds
