City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-10-27 23:12:45,-23.12,-134.97,75.43,83,100,16.69
1,Scottsbluff,US,2020-10-27 23:16:21,41.87,-103.67,34.0,87,1,5.82
2,Narsaq,GL,2020-10-27 23:17:30,60.92,-46.05,32.0,97,100,2.24
3,Kalmunai,LK,2020-10-27 23:17:30,7.42,81.82,78.64,82,53,7.02
4,Ossora,RU,2020-10-27 23:17:30,59.24,163.07,34.2,85,79,6.98
5,Cape Town,ZA,2020-10-27 23:17:05,-33.93,18.42,64.0,82,75,6.93
6,Jining,CN,2020-10-27 23:17:31,35.41,116.58,57.99,1,96,4.83
7,Bethel,US,2020-10-27 23:17:31,41.37,-73.41,53.6,54,90,5.82
8,Albany,US,2020-10-27 23:14:40,42.6,-73.97,48.99,67,100,2.1
9,Saldanha,ZA,2020-10-27 23:17:31,-33.01,17.94,59.0,87,100,2.24
10,Bathsheba,BB,2020-10-27 23:17:08,13.22,-59.52,80.6,88,20,11.41
11,Bluff,NZ,2020-10-27 23:14:06,-46.6,168.33,57.99,68,17,1.99
12,Upernavik,GL,2020-10-27 23:17:22,72.79,-56.15,17.02,80,0,6.26
13,Bredasdorp,ZA,2020-10-27 23:17:32,-34.53,20.04,62.6,82,100,4.7
14,Hirara,JP,2020-10-27 23:17:32,24.8,125.28,75.2,83,20,6.93
15,Vaini,TO,2020-10-27 23:17:32,-21.2,-175.2,77.0,78,20,12.75
16,Kapaa,US,2020-10-27 23:16:54,22.08,-159.32,82.99,69,75,3.36
17,Mataura,NZ,2020-10-27 23:17:33,-46.19,168.86,57.99,66,5,3.0
18,Bilibino,RU,2020-10-27 23:17:33,68.05,166.44,1.36,90,85,1.97
19,Avarua,CK,2020-10-27 23:17:33,-21.21,-159.78,73.4,78,100,6.93
20,Yeppoon,AU,2020-10-27 23:17:34,-23.13,150.73,77.0,69,1,3.36
21,Sangmelima,CM,2020-10-27 23:17:34,2.93,11.98,68.0,95,43,0.92
22,Sao Filipe,CV,2020-10-27 23:17:34,14.9,-24.5,81.14,73,100,2.93
23,Palmer,US,2020-10-27 23:17:34,42.16,-72.33,51.01,87,100,2.15
24,Bukavu,CD,2020-10-27 23:17:35,-2.51,28.86,62.44,86,97,1.23
25,Saskylakh,RU,2020-10-27 23:17:35,71.92,114.08,5.38,92,99,10.22
26,Davila,PH,2020-10-27 23:17:35,18.47,120.58,78.8,100,75,4.7
27,Punta Arenas,CL,2020-10-27 23:14:10,-53.15,-70.92,46.4,62,0,19.46
28,Shimoda,JP,2020-10-27 23:17:35,34.67,138.95,61.0,72,28,1.01
29,Butaritari,KI,2020-10-27 23:17:36,3.07,172.79,81.09,66,100,4.63
30,East Wenatchee Bench,US,2020-10-27 23:17:36,47.43,-120.28,42.01,59,1,3.36
31,Cururupu,BR,2020-10-27 23:17:36,-1.83,-44.87,76.06,88,72,3.49
32,Kaeo,NZ,2020-10-27 23:17:36,-35.1,173.78,69.57,64,80,4.29
33,Muroto,JP,2020-10-27 23:17:36,33.28,134.15,59.0,82,75,10.29
34,Beloha,MG,2020-10-27 23:17:37,-25.17,45.05,69.22,87,5,13.0
35,Yellowknife,CA,2020-10-27 23:17:37,62.46,-114.35,17.6,67,75,5.82
36,Hami,CN,2020-10-27 23:14:28,42.8,93.45,42.71,53,0,7.61
37,Cayenne,GF,2020-10-27 23:17:38,4.93,-52.33,82.4,78,0,5.82
38,Jamestown,US,2020-10-27 23:17:38,42.1,-79.24,41.0,100,90,1.99
39,Atambua,ID,2020-10-27 23:17:38,-9.11,124.89,79.03,71,53,2.44
40,Atuona,PF,2020-10-27 23:17:38,-9.8,-139.03,78.93,73,1,19.44
